display_name,value_key
"3B Group, Inc.",3b-group-inc
4 Ever Life Insurance Company,4-ever-life-insurance-company
"AAA Access Dental Plan of Texas, Inc.",aaa-access-dental-plan-of-texas-inc
ABC Auto Parts Ltd,abc-auto-parts-ltd
ACE American Insurance Company,ace-american-insurance-company
ACE Property and Casualty Insurance Company,ace-property-and-casualty-insurance-company
"ACN Group of California, Inc.",acn-group-of-california-inc
"ADS Alliance Data Systems, Inc.",ads-alliance-data-systems-inc
AHF,ahf
ALAMEDA ALLIANCE FOR HEALTH,alameda-alliance-for-health
ALBRIGHT CARE SERVICES,albright-care-services
AMERICAN COMMUNITY MUTUAL INSURANCE COMPANY,american-community-mutual-insurance-company
AMERICAN FIDELITY ASSURANCE COMPANY,american-fidelity-assurance-company
AMERICAN SYSTEMS,american-systems
"AMGP Georgia Managed Care Company, Inc. dba Anthem Blue Cross and Blue Shield",amgp-georgia-managed-care-company-inc-dba-anthem-blue-cross-and-blue-shield
AMH Health,amh-health
AS America,as-america
ASEA/AFSCME Local 52 Health Benefits Trust,asea-afscme-local-52-health-benefits-trust
ATRIO Health Plans,atrio-health-plans
AXA Equitable Life Insurance Company,axa-equitable-life-insurance-company
"Absolute Total Care, Inc",absolute-total-care-inc
Access Dental Plan,access-dental-plan
"Access Dental Plan of Utah, Inc",access-dental-plan-of-utah-inc
Access TCA,access-tca
"Access to Care Health Plan, LLC.",access-to-care-health-plan-llc
"Advantage Health Solutions, Inc.",advantage-health-solutions-inc
"Advantage Resourcing America, Inc.",advantage-resourcing-america-inc
"Advantica Dental Benefits, Inc.",advantica-dental-benefits-inc
Advantica Insurance Company,advantica-insurance-company
"Advantica, Inc.",advantica-inc
Aegis Security Insurance Company,aegis-security-insurance-company
Aetna Better Health Premier Plan,aetna-better-health-premier-plan
Aetna Better Health of New Jersey,aetna-better-health-of-new-jersey
"Aetna Better Health of Ohio, MyCare Ohio",aetna-better-health-of-ohio-mycare-ohio
Aetna Better Health of Virginia,aetna-better-health-of-virginia
Aetna Health Inc. (a CT corp.),aetna-health-inc-a-ct-corp
Aetna Health Inc. (a FL corp.),aetna-health-inc-a-fl-corp
Aetna Health Inc. (a GA corp.),aetna-health-inc-a-ga-corp
Aetna Health Inc. (a LA corp.),aetna-health-inc-a-la-corp
Aetna Health Inc. (a ME corp.),aetna-health-inc-a-me-corp
Aetna Health Inc. (a NJ corp.),aetna-health-inc-a-nj-corp
Aetna Health Inc. (a NY corp.),aetna-health-inc-a-ny-corp
Aetna Health Inc. (a PA corp.),aetna-health-inc-a-pa-corp
Aetna Health Inc. (a TX corp.),aetna-health-inc-a-tx-corp
"Aetna Health Inc., a Georgia Corp",aetna-health-inc-a-georgia-corp
Aetna Health Insurance Company,aetna-health-insurance-company
Aetna Health Insurance Company of New York,aetna-health-insurance-company-of-new-york
Aetna Health and Life Insurance Company,aetna-health-and-life-insurance-company
Aetna Health of California Inc.,aetna-health-of-california-inc
Aetna Health of Iowa Inc.,aetna-health-of-iowa-inc
Aetna Health of Utah Inc.,aetna-health-of-utah-inc
"Aetna HealthAssurance Pennsylvania, Inc.",aetna-healthassurance-pennsylvania-inc
Aetna Life Insurance Company,aetna-life-insurance-company
Aetna Medicare,aetna-medicare
Affiliated Foods Cooperative Inc,affiliated-foods-cooperative-inc
"Affinity Health Plan, Inc.",affinity-health-plan-inc
AgeRight Advantage,ageright-advantage
AgeWell PACE,agewell-pace
"Al Warren Oil Co., Inc.",al-warren-oil-co-inc
Alameda Alliance Joint Powers Authority,alameda-alliance-joint-powers-authority
Align Senior Care,align-senior-care
"Align Senior Care Florida, Inc.",align-senior-care-florida-inc
Align powered by Sanford Health Plan,align-powered-by-sanford-health-plan
Alignment Health Plan,alignment-health-plan
"Alignment Health Plan (f/k/a Honored Citizen's Choice Health Plan, Inc.)",alignment-health-plan-f-k-a-honored-citizen-s-choice-health-plan-inc
All Savers Insurance Company,all-savers-insurance-company
All Savers Life Insurance Company of California,all-savers-life-insurance-company-of-california
"All States Ag Parts, Inc",all-states-ag-parts-inc
AllCare Advantage,allcare-advantage
Allegian Insurance Company,allegian-insurance-company
"Allegiance Life & Health Insurance Company, Inc.",allegiance-life-and-health-insurance-company-inc
"Allegiance Life & Health Insurance, Inc.",allegiance-life-and-health-insurance-inc
Alliance Health and Life Insurance Company,alliance-health-and-life-insurance-company
Alliant Health Plans,alliant-health-plans
"Alliant Health Plans, Inc.",alliant-health-plans-inc
Allianz Life Insurance Company of New York,allianz-life-insurance-company-of-new-york
Allianz Life Insurance Company of North America,allianz-life-insurance-company-of-north-america
Allina Health Aetna Medicare,allina-health-aetna-medicare
Allina Health and Aetna Insurance Company,allina-health-and-aetna-insurance-company
AlohaCare,alohacare
"Alpha Dental Programs, Inc.",alpha-dental-programs-inc
"Alpha Dental of Alabama, Inc.",alpha-dental-of-alabama-inc
"Alpha Dental of Arizona, Inc.",alpha-dental-of-arizona-inc
"Alpha Dental of Nevada, Inc.",alpha-dental-of-nevada-inc
