display_name,category,parent_brand,value_key,payer_id,notes
"3B Group, Inc.",Commercial,,3b-group-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
4 Ever Life Insurance Company,Commercial,,4-ever-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"AAA Access Dental Plan of Texas, Inc.",Commercial,,aaa-access-dental-plan-of-texas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ABC Auto Parts Ltd,Commercial,,abc-auto-parts-ltd,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ACE American Insurance Company,Commercial,,ace-american-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ACE Property and Casualty Insurance Company,Commercial,,ace-property-and-casualty-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"ACN Group of California, Inc.",Commercial,,acn-group-of-california-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"ADS Alliance Data Systems, Inc.",Commercial,,ads-alliance-data-systems-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AHF,Medicare Advantage,,ahf,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ALAMEDA ALLIANCE FOR HEALTH,Commercial,,alameda-alliance-for-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ALBRIGHT CARE SERVICES,Medicare Advantage,,albright-care-services,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AMERICAN COMMUNITY MUTUAL INSURANCE COMPANY,Commercial,,american-community-mutual-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AMERICAN FIDELITY ASSURANCE COMPANY,Commercial,,american-fidelity-assurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AMERICAN SYSTEMS,Commercial,,american-systems,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"AMGP Georgia Managed Care Company, Inc. dba Anthem Blue Cross and Blue Shield",Commercial,Anthem Blue Cross Blue Shield,amgp-georgia-managed-care-company-inc-dba-anthem-blue-cross-and-blue-shield,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AMH Health,Medicare Advantage,,amh-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AS America,Commercial,,as-america,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ASEA/AFSCME Local 52 Health Benefits Trust,Commercial,,asea-afscme-local-52-health-benefits-trust,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ATRIO Health Plans,Medicare Advantage,,atrio-health-plans,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ATRIO Health Plans,Commercial,,atrio-health-plans,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AXA Equitable Life Insurance Company,Commercial,,axa-equitable-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Absolute Total Care, Inc",Commercial,,absolute-total-care-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Access Dental Plan,Commercial,,access-dental-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Access Dental Plan of Utah, Inc",Commercial,,access-dental-plan-of-utah-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Access TCA,Commercial,,access-tca,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Access to Care Health Plan, LLC.",Commercial,,access-to-care-health-plan-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Advantage Health Solutions, Inc.",Commercial,,advantage-health-solutions-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Advantage Resourcing America, Inc.",Commercial,,advantage-resourcing-america-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Advantica Dental Benefits, Inc.",Commercial,,advantica-dental-benefits-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Advantica Insurance Company,Commercial,,advantica-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Advantica, Inc.",Commercial,,advantica-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aegis Security Insurance Company,Commercial,,aegis-security-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Better Health Premier Plan,Medicare Advantage,Aetna,aetna-better-health-premier-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Better Health of New Jersey,Medicare Advantage,Aetna,aetna-better-health-of-new-jersey,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Aetna Better Health of Ohio, MyCare Ohio",Medicare Advantage,Aetna,aetna-better-health-of-ohio-mycare-ohio,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Better Health of Virginia,Medicare Advantage,Aetna,aetna-better-health-of-virginia,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health Inc. (a CT corp.),Commercial,Aetna,aetna-health-inc-a-ct-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health Inc. (a FL corp.),Commercial,Aetna,aetna-health-inc-a-fl-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Aetna Health Inc. (a GA corp.),Commercial,Aetna,aetna-health-inc-a-ga-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
